Prompt,Intent,Entities
List the different types of assets installed.,asset_count,MAC Address
How many asset categories are there?,asset_count,MAC Address
Show the total available plugins now.,asset_count,MAC Address
Fetch the registered asset count.,asset_count,MAC Address
What’s my total asset summary?,asset_count,MAC Address
Show the latest number of unique plugins.,asset_count,MAC Address
How many asset versions do I have?,asset_count,MAC Address
Retrieve the database count of plugins.,asset_count,MAC Address
Provide the most recent total asset count.,asset_count,MAC Address
Show the number of different plugins in use.,asset_count,MAC Address
What’s the total plugin inventory?,asset_count,MAC Address
How many distinct assets are installed?,asset_count,MAC Address
Tell me how many active assets I have.,asset_count,MAC Address
Find the total installed plugin number.,asset_count,MAC Address
What’s the current plugin asset status?,asset_count,MAC Address
Provide a list of my counted assets.,asset_count,MAC Address
How many plugins have been registered?,asset_count,MAC Address
Retrieve and summarize my total assets.,asset_count,MAC Address
Count all assets and plugins across my system.,asset_count,MAC Address
List all plugin versions.,display_version,"Plugin, Version"
Show me every plugin version.,display_version,"Plugin, Version"
Provide the versions of all plugins.,display_version,"Plugin, Version"
Can you list the versions of all plugins?,display_version,"Plugin, Version"
What are the versions of every plugin?,display_version,"Plugin, Version"
Display the version of each plugin.,display_version,"Plugin, Version"
Show me the different versions of plugins.,display_version,"Plugin, Version"
Give me the list of all plugin versions.,display_version,"Plugin, Version"
Fetch the versions for every plugin.,display_version,"Plugin, Version"
I need to see the version details for all plugins.,display_version,"Plugin, Version"
Retrieve plugin versions for me.,display_version,"Plugin, Version"
What versions are available for all plugins?,display_version,"Plugin, Version"
List the version numbers of all plugins.,display_version,"Plugin, Version"
Provide details about the versions of all plugins.,display_version,"Plugin, Version"
Show every plugin along with its version.,display_version,"Plugin, Version"
Tell me the versions for all plugins.,display_version,"Plugin, Version"
How many different plugin versions exist?,display_version,"Plugin, Version"
Could you display the list of plugin versions?,display_version,"Plugin, Version"
Provide an overview of plugin versions.,display_version,"Plugin, Version"
What versions do the plugins have?,display_version,"Plugin, Version"
List the different versions of each plugin.,display_version,"Plugin, Version"
Can I get details of all plugin versions?,display_version,"Plugin, Version"
Show all available versions of plugins.,display_version,"Plugin, Version"
Fetch the complete plugin version information.,display_version,"Plugin, Version"
I’d like to see the plugin versions.,display_version,"Plugin, Version"
Show me the plugin version numbers.,display_version,"Plugin, Version"
Display each plugin along with its version.,display_version,"Plugin, Version"
What are the available plugin versions?,display_version,"Plugin, Version"
Can you tell me the versions of my plugins?,display_version,"Plugin, Version"
Provide a detailed list of plugin versions.,display_version,"Plugin, Version"
I want to see all the plugin versions.,display_version,"Plugin, Version"
Show me each plugin and its respective version.,display_version,"Plugin, Version"
How many versions are there per plugin?,display_version,"Plugin, Version"
Tell me about plugin versions.,display_version,"Plugin, Version"
Retrieve the version info for all plugins.,display_version,"Plugin, Version"
Fetch details about every plugin version.,display_version,"Plugin, Version"
Can you show the versions of plugins currently installed?,display_version,"Plugin, Version"
List all plugins along with their versions.,display_version,"Plugin, Version"
What’s the latest version of every plugin?,display_version,"Plugin, Version"
Provide information on installed plugin versions.,display_version,"Plugin, Version"
Show me a breakdown of plugin versions.,display_version,"Plugin, Version"
Display all plugins and their respective versions.,display_version,"Plugin, Version"
Fetch and list the plugin versions for me.,display_version,"Plugin, Version"
I need to check the version of all plugins.,display_version,"Plugin, Version"
List the total plugin count and their versions.,display_version,"Plugin, Version"
Give me a summary of plugin versions.,display_version,"Plugin, Version"
Show all plugin version numbers.,display_version,"Plugin, Version"
How many versions do the plugins have?,display_version,"Plugin, Version"
Fetch details on plugin versions.,display_version,"Plugin, Version"
Could you retrieve the versions of every plugin?,display_version,"Plugin, Version"
List all plugin versions in a table format.,display_version,"Plugin, Version"
Give a summary of all plugins and their versions.,display_version,"Plugin, Version"
What plugin versions are currently installed?,display_version,"Plugin, Version"
Show the installed versions of all plugins.,display_version,"Plugin, Version"
Can I see the plugin versions?,display_version,"Plugin, Version"
Provide a report on installed plugin versions.,display_version,"Plugin, Version"
How can I check all the plugin versions?,display_version,"Plugin, Version"
Display the available plugin versions.,display_version,"Plugin, Version"
Fetch version information for each plugin.,display_version,"Plugin, Version"
Could you find out which versions I have installed?,display_version,"Plugin, Version"
How many different plugin versions do we have?,display_version,"Plugin, Version"
Provide the count of plugin versions.,display_version,"Plugin, Version"
How many versions of plugins are installed?,display_version,"Plugin, Version"
Which plugins have multiple versions?,display_version,"Plugin, Version"
Retrieve all plugin versions for me.,display_version,"Plugin, Version"
What plugin versions are currently in use?,display_version,"Plugin, Version"
Show me each plugin along with its current version.,display_version,"Plugin, Version"
I’d like to see the complete plugin version details.,display_version,"Plugin, Version"
Fetch the details of all available plugin versions.,display_version,"Plugin, Version"
List the plugin names along with their versions.,display_version,"Plugin, Version"
Display the plugin names and their version numbers.,display_version,"Plugin, Version"
Which version is installed for each plugin?,display_version,"Plugin, Version"
Can you pull up a list of all plugin versions?,display_version,"Plugin, Version"
Show me the version of every plugin in use.,display_version,"Plugin, Version"
What are the version numbers of all plugins?,display_version,"Plugin, Version"
Retrieve details of all plugin versions.,display_version,"Plugin, Version"
Tell me the versions of the plugins in the system.,display_version,"Plugin, Version"
List the different versions of each installed plugin.,display_version,"Plugin, Version"
Show me the plugin versions sorted alphabetically.,display_version,"Plugin, Version"
Provide the plugin version for all items.,display_version,"Plugin, Version"
Display all plugin names along with their versions.,display_version,"Plugin, Version"
What version does each plugin have?,display_version,"Plugin, Version"
Fetch the complete plugin version list.,display_version,"Plugin, Version"
How do I find the installed plugin versions?,display_version,"Plugin, Version"
Get me a report on all plugin versions.,display_version,"Plugin, Version"
What are the current versions of all plugins?,display_version,"Plugin, Version"
Can you list the plugin versions available?,display_version,"Plugin, Version"
I want details of every plugin version.,display_version,"Plugin, Version"
Show me plugin names with their versions.,display_version,"Plugin, Version"
Display the version history of each plugin.,display_version,"Plugin, Version"
I need to know which versions of plugins I have.,display_version,"Plugin, Version"
Show me the latest versions of all plugins.,display_version,"Plugin, Version"
Find and list all the different plugin versions.,display_version,"Plugin, Version"
How can I retrieve the number of plugin versions?,display_version,"Plugin, Version"
What are the installed plugin versions?,display_version,"Plugin, Version"
Fetch details about the versions of my plugins.,display_version,"Plugin, Version"
Give me an overview of plugin versions.,display_version,"Plugin, Version"
Can I see all the distinct plugin versions?,display_version,"Plugin, Version"
Show a list of plugins with their versions.,display_version,"Plugin, Version"
Tell me which plugin versions are installed.,display_version,"Plugin, Version"
Show the plugin name and its description.,plugin_details,"Plugin, Plugin Name, Description"
Display the plugin details.,plugin_details,"Plugin, Plugin Name, Description"
Provide the plugin name along with its description.,plugin_details,"Plugin, Plugin Name, Description"
Fetch the plugin name and description.,plugin_details,"Plugin, Plugin Name, Description"
List all plugins along with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Can you show me the plugin name and description?,plugin_details,"Plugin, Plugin Name, Description"
"I need the details of all plugins, including their names and descriptions.",plugin_details,"Plugin, Plugin Name, Description"
Show me the names and descriptions of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Provide a list of plugins along with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Fetch the plugin name and its description.,plugin_details,"Plugin, Plugin Name, Description"
List all plugins and their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
What are the plugins and their descriptions?,plugin_details,"Plugin, Plugin Name, Description"
Get me the plugin names with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Show me all available plugins and what they do.,plugin_details,"Plugin, Plugin Name, Description"
Provide a summary of all plugin names and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Fetch plugin name along with its description.,plugin_details,"Plugin, Plugin Name, Description"
Can you display all plugins with their descriptions?,plugin_details,"Plugin, Plugin Name, Description"
List plugin names and descriptions in a table format.,plugin_details,"Plugin, Plugin Name, Description"
Show me all available plugins and their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
"Give me details of each plugin, including name and description.",plugin_details,"Plugin, Plugin Name, Description"
Display information about all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Retrieve a list of plugins with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Show the plugin list with names and their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
I want to see all plugin names and their details.,plugin_details,"Plugin, Plugin Name, Description"
Fetch and display plugin names along with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
What are the details of all plugins?,plugin_details,"Plugin, Plugin Name, Description"
Display plugin names and their respective descriptions.,plugin_details,"Plugin, Plugin Name, Description"
"Show a summary of plugins, their names, and descriptions.",plugin_details,"Plugin, Plugin Name, Description"
Provide plugin details with names and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Can you give me the name and description of every plugin?,plugin_details,"Plugin, Plugin Name, Description"
Show me the information for all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Get the details for every available plugin.,plugin_details,"Plugin, Plugin Name, Description"
List every plugin and its details.,plugin_details,"Plugin, Plugin Name, Description"
Retrieve plugin information with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Can you show the plugin list along with their descriptions?,plugin_details,"Plugin, Plugin Name, Description"
Fetch the plugin details including names and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Provide an overview of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Show me the plugin summary.,plugin_details,"Plugin, Plugin Name, Description"
Display plugin metadata including names and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
What are the available plugins and their descriptions?,plugin_details,"Plugin, Plugin Name, Description"
Can you fetch the plugin name and description for me?,plugin_details,"Plugin, Plugin Name, Description"
Show the name and brief details of each plugin.,plugin_details,"Plugin, Plugin Name, Description"
Get me a summary of each plugin with its name and details.,plugin_details,"Plugin, Plugin Name, Description"
List all plugins with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
I need to see plugin names with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Show all the plugins along with their descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Display plugin information.,plugin_details,"Plugin, Plugin Name, Description"
Fetch the plugin names and their summary.,plugin_details,"Plugin, Plugin Name, Description"
Retrieve the complete list of plugins with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
What plugins do we have and what do they do?,plugin_details,"Plugin, Plugin Name, Description"
Show plugin titles and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Provide details for all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Give a brief about each plugin.,plugin_details,"Plugin, Plugin Name, Description"
List plugins along with their functions.,plugin_details,"Plugin, Plugin Name, Description"
Can I get a summary of all available plugins?,plugin_details,"Plugin, Plugin Name, Description"
Display plugin details in a readable format.,plugin_details,"Plugin, Plugin Name, Description"
Fetch details of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Get plugin names and their corresponding descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Show me available plugin information.,plugin_details,"Plugin, Plugin Name, Description"
Show me all plugins and what they do.,plugin_details,"Plugin, Plugin Name, Description"
What is each plugin for?,plugin_details,"Plugin, Plugin Name, Description"
Can I get the complete plugin descriptions?,plugin_details,"Plugin, Plugin Name, Description"
Retrieve plugin names and what they do.,plugin_details,"Plugin, Plugin Name, Description"
Provide the plugin catalog.,plugin_details,"Plugin, Plugin Name, Description"
Show all plugin descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Get me the plugin list with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Tell me about all plugins.,plugin_details,"Plugin, Plugin Name, Description"
"I need plugin details, including names and descriptions.",plugin_details,"Plugin, Plugin Name, Description"
"What plugins exist, and what are their purposes?",plugin_details,"Plugin, Plugin Name, Description"
Show me a catalog of plugins and descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Provide an overview of all available plugins.,plugin_details,"Plugin, Plugin Name, Description"
What are the details of each plugin?,plugin_details,"Plugin, Plugin Name, Description"
Get me a summary of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Tell me about each available plugin.,plugin_details,"Plugin, Plugin Name, Description"
Fetch all plugins and describe them.,plugin_details,"Plugin, Plugin Name, Description"
I want to see the plugin names and what they do.,plugin_details,"Plugin, Plugin Name, Description"
Show a list of plugins with their details.,plugin_details,"Plugin, Plugin Name, Description"
Can I view the plugin names and descriptions?,plugin_details,"Plugin, Plugin Name, Description"
What plugins are in the system?,plugin_details,"Plugin, Plugin Name, Description"
Display plugin details with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Provide an overview of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Can I get the names and purposes of all plugins?,plugin_details,"Plugin, Plugin Name, Description"
Get me a full report on plugin descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Show me the details for all plugins.,plugin_details,"Plugin, Plugin Name, Description"
List every plugin with its name and what it does.,plugin_details,"Plugin, Plugin Name, Description"
Retrieve plugin list and corresponding descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Provide plugin summary information.,plugin_details,"Plugin, Plugin Name, Description"
What are the functionalities of all plugins?,plugin_details,"Plugin, Plugin Name, Description"
Can you get the complete list of plugins with their uses?,plugin_details,"Plugin, Plugin Name, Description"
I need a list of plugins and their brief descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Display all plugins and their details.,plugin_details,"Plugin, Plugin Name, Description"
Show me the names and functionalities of all plugins.,plugin_details,"Plugin, Plugin Name, Description"
Get the available plugin list with descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Fetch me the plugin name and what it is used for.,plugin_details,"Plugin, Plugin Name, Description"
List all plugins with their functions.,plugin_details,"Plugin, Plugin Name, Description"
What do all available plugins do?,plugin_details,"Plugin, Plugin Name, Description"
Provide me with an overview of each plugin.,plugin_details,"Plugin, Plugin Name, Description"
Display details about the plugins.,plugin_details,"Plugin, Plugin Name, Description"
Show me all plugins along with their features.,plugin_details,"Plugin, Plugin Name, Description"
Get me a summary of the plugins in the system.,plugin_details,"Plugin, Plugin Name, Description"
Fetch the plugin name and what each does.,plugin_details,"Plugin, Plugin Name, Description"
Can you list all plugins and their functionalities?,plugin_details,"Plugin, Plugin Name, Description"
List plugins with their respective purposes.,plugin_details,"Plugin, Plugin Name, Description"
Show me a list of plugins with explanations.,plugin_details,"Plugin, Plugin Name, Description"
Give me all plugin names and their functions.,plugin_details,"Plugin, Plugin Name, Description"
"Fetch plugin information, including names and usage.",plugin_details,"Plugin, Plugin Name, Description"
"What plugins do we have, and what are they used for?",plugin_details,"Plugin, Plugin Name, Description"
List all available plugins and their capabilities.,plugin_details,"Plugin, Plugin Name, Description"
Display the plugin catalog.,plugin_details,"Plugin, Plugin Name, Description"
Retrieve the plugins and their respective descriptions.,plugin_details,"Plugin, Plugin Name, Description"
Give me vulnerability details of all assets,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List all vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show vulnerability data for every asset,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
I want to see all vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Provide a report of all asset vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List all known vulnerabilities in the system,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give complete vulnerability details,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show detailed vulnerability information,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Fetch vulnerabilities for all hosts,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Display full vulnerability data,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give me the vulnerability breakdown,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me about all vulnerabilities in the network,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show asset-wise vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
All vulnerabilities listed with details,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Get vulnerability data across all assets,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Provide a full view of vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show me each asset’s vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give a list of all vulnerability entries,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me what vulnerabilities exist,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Pull full vulnerability records,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Which vulnerabilities are present in the scan?,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Complete list of asset vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List the vulnerabilities in the report,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give me vulnerability names and details,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show all detected vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
What are the vulnerabilities found?,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List vulnerabilities across IPs,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List MAC address-wise vulnerability data,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Fetch all detected CVEs,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List all CVEs and their asset mapping,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show vulnerabilities per asset,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
I want all vulnerability records,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Display all known vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give the vulnerability report summary,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show me vulnerabilities for each device,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me the vulnerabilities by IP address,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List vulnerabilities grouped by MAC address,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show vulnerabilities along with plugin names,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List out all CVEs in the environment,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Full vulnerability exposure list,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give the vulnerability and severity per device,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Report all vulnerabilities found during the scan,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List all threats detected by CVE,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Get asset-level vulnerability details,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show me the details of found vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Fetch all network vulnerabilities,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List detailed CVE records,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me all vulnerabilities per asset,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Get the full vulnerability exposure data,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
I want all device vulnerabilities listed,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Display device vulnerability info,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Get vulnerabilities by IP and MAC,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Vulnerability inventory for all assets,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Get all CVEs with severity and risk,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me the exposure by asset,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Give me every vulnerability found,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
All detected threats in one list,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Show me asset-wise risk and severity,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
List everything vulnerable in the report,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
I want to know which assets are vulnerable,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
Tell me what’s vulnerable and where,vulnerability_details,"IP Address, MAC Address, DNS Name, NetBIOS Name, CVE, Severity, Risk Factor, Exploit?, Plugin Name"
